Name,Game,Area,Location
Abomasnow,Scarlet,Paldea,5☆
Abomasnow,Shield,Crown Tundra,Den 168
Abomasnow,Shield,Crown Tundra,Den 169
Abomasnow,Shield,Crown Tundra,Dynamax Adventure
Abomasnow,Shield,Galar,Den 21
Abomasnow,Shield,Galar,Den 23
Abomasnow,Shield,Isle of Armor,Den 112
Abomasnow,Sword,Crown Tundra,Den 168
Abomasnow,Sword,Crown Tundra,Den 169
Abomasnow,Sword,Crown Tundra,Dynamax Adventure
Abomasnow,Sword,Galar,Den 21
Abomasnow,Sword,Galar,Den 23
Abomasnow,Sword,Isle of Armor,Den 112
Abomasnow,Violet,Paldea,5☆
Abra,Shield,Isle of Armor,Den 117
Abra,Shield,Isle of Armor,Den 118
Abra,Sword,Isle of Armor,Den 117
Abra,Sword,Isle of Armor,Den 118
Absol,Shield,Crown Tundra,Den 186
Absol,Shield,Crown Tundra,Den 187
Absol,Shield,Crown Tundra,Dynamax Adventure
Absol,Sword,Crown Tundra,Den 186
Absol,Sword,Crown Tundra,Den 187
Absol,Sword,Crown Tundra,Dynamax Adventure
Accelgor,Shield,Crown Tundra,Dynamax Adventure
Accelgor,Shield,Galar,Den 46
Accelgor,Shield,Galar,Den 90
Accelgor,Shield,Galar,Den 92
Accelgor,Shield,Isle of Armor,Den 110
Accelgor,Sword,Crown Tundra,Dynamax Adventure
Accelgor,Sword,Isle of Armor,Den 110
Aegislash,Shield,Galar,Den 47
Aegislash,Sword,Galar,Den 47
Aerodactyl,Shield,Crown Tundra,Den 177
Aerodactyl,Shield,Crown Tundra,Den 196
Aerodactyl,Shield,Crown Tundra,Den 197
Aerodactyl,Sword,Crown Tundra,Den 177
Aerodactyl,Sword,Crown Tundra,Den 196
Aerodactyl,Sword,Crown Tundra,Den 197
Aggron,Shield,Crown Tundra,Den 180
Aggron,Shield,Crown Tundra,Den 181
Aggron,Shield,Crown Tundra,Den 188
Aggron,Shield,Crown Tundra,Den 189
Aggron,Sword,Crown Tundra,Den 180
Aggron,Sword,Crown Tundra,Den 181
Aggron,Sword,Crown Tundra,Den 188
Aggron,Sword,Crown Tundra,Den 189
Aipom,Violet,Kitakami,3☆
Alakazam,Shield,Isle of Armor,Den 117
Alakazam,Shield,Isle of Armor,Den 118
Alakazam,Sword,Isle of Armor,Den 117
Alakazam,Sword,Isle of Armor,Den 118
Alcremie,Scarlet,Terarium,5☆
Alcremie,Scarlet,Terarium,6☆
Alcremie,Shield,Crown Tundra,Den 193
Alcremie,Shield,Crown Tundra,Dynamax Adventure
Alcremie,Shield,Galar,Den 34
Alcremie,Shield,Galar,Den 82
Alcremie,Sword,Crown Tundra,Den 193
Alcremie,Sword,Crown Tundra,Dynamax Adventure
Alcremie,Sword,Galar,Den 34
Alcremie,Sword,Galar,Den 82
Alcremie,Violet,Terarium,5☆
Alcremie,Violet,Terarium,6☆
Alomomola,Scarlet,Paldea,4☆
Alomomola,Violet,Paldea,4☆
Altaria,Scarlet,Paldea,5☆
Altaria,Shield,Crown Tundra,Den 159
Altaria,Shield,Crown Tundra,Den 176
Altaria,Shield,Crown Tundra,Den 177
Altaria,Shield,Crown Tundra,Dynamax Adventure
Altaria,Shield,Isle of Armor,Den 158
Altaria,Sword,Crown Tundra,Den 159
Altaria,Sword,Crown Tundra,Den 176
Altaria,Sword,Crown Tundra,Den 177
Altaria,Sword,Crown Tundra,Dynamax Adventure
Altaria,Sword,Isle of Armor,Den 158
Altaria,Violet,Paldea,5☆
Amaura,Shield,Crown Tundra,Den 168
Amaura,Shield,Crown Tundra,Den 169
Amaura,Shield,Crown Tundra,Den 196
Amaura,Sword,Crown Tundra,Den 168
Amaura,Sword,Crown Tundra,Den 169
Amaura,Sword,Crown Tundra,Den 196
Ambipom,Violet,Kitakami,5☆
Ambipom,Violet,Kitakami,6☆
Amoonguss,Scarlet,Paldea,5☆
Amoonguss,Scarlet,Paldea,6☆
Amoonguss,Shield,Crown Tundra,Dynamax Adventure
Amoonguss,Shield,Isle of Armor,Den 111
Amoonguss,Shield,Isle of Armor,Den 112
Amoonguss,Shield,Isle of Armor,Den 120
Amoonguss,Shield,Isle of Armor,Den 154
Amoonguss,Sword,Crown Tundra,Dynamax Adventure
Amoonguss,Sword,Isle of Armor,Den 111
Amoonguss,Sword,Isle of Armor,Den 112
Amoonguss,Sword,Isle of Armor,Den 120
Amoonguss,Sword,Isle of Armor,Den 154
Amoonguss,Violet,Paldea,5☆
Amoonguss,Violet,Paldea,6☆
Ampharos,Scarlet,Paldea,4☆
Ampharos,Violet,Paldea,4☆
Annihilape,Scarlet,Paldea,5☆
Annihilape,Scarlet,Paldea,6☆
Annihilape,Violet,Paldea,5☆
Annihilape,Violet,Paldea,6☆
Anorith,Shield,Crown Tundra,Den 166
Anorith,Shield,Crown Tundra,Den 167
Anorith,Sword,Crown Tundra,Den 166
Anorith,Sword,Crown Tundra,Den 167
Anorith,Sword,Crown Tundra,Den 196
Appletun,Scarlet,Paldea,5☆
Appletun,Shield,Galar,Den 27
Appletun,Shield,Galar,Den 38
Appletun,Shield,Galar,Den 58
Appletun,Shield,Galar,Den 79
Appletun,Shield,Isle of Armor,Den 131
Appletun,Shield,Isle of Armor,Den 151
Appletun,Violet,Paldea,5☆
Applin,Scarlet,Kitakami,2☆
Applin,Scarlet,Kitakami,3☆
Applin,Scarlet,Paldea,1☆
Applin,Shield,Galar,Den 27
Applin,Shield,Galar,Den 38
Applin,Shield,Galar,Den 58
Applin,Shield,Galar,Den 64
Applin,Shield,Galar,Den 79
Applin,Shield,Isle of Armor,Den 131
Applin,Shield,Isle of Armor,Den 151
Applin,Sword,Galar,Den 27
Applin,Sword,Galar,Den 38
Applin,Sword,Galar,Den 58
Applin,Sword,Galar,Den 64
Applin,Sword,Galar,Den 79
Applin,Sword,Isle of Armor,Den 131
Applin,Sword,Isle of Armor,Den 151
Applin,Violet,Kitakami,2☆
Applin,Violet,Kitakami,3☆
Applin,Violet,Paldea,1☆
Araquanid,Scarlet,Terarium,4☆
Araquanid,Shield,Crown Tundra,Den 166
Araquanid,Shield,Crown Tundra,Den 167
Araquanid,Shield,Crown Tundra,Dynamax Adventure
Araquanid,Shield,Galar,Den 46
Araquanid,Shield,Galar,Den 75
Araquanid,Shield,Galar,Den 8
Araquanid,Shield,Galar,Den 90
Araquanid,Shield,Galar,Den 92
Araquanid,Shield,Isle of Armor,Den 134
Araquanid,Sword,Crown Tundra,Den 166
Araquanid,Sword,Crown Tundra,Den 167
Araquanid,Sword,Crown Tundra,Dynamax Adventure
Araquanid,Sword,Galar,Den 46
Araquanid,Sword,Galar,Den 75
Araquanid,Sword,Galar,Den 8
Araquanid,Sword,Galar,Den 90
Araquanid,Sword,Galar,Den 92
Araquanid,Sword,Isle of Armor,Den 134
Araquanid,Violet,Terarium,4☆
Arboliva,Scarlet,Paldea,5☆
Arboliva,Violet,Paldea,5☆
Arcanine (Kantonian),Scarlet,Paldea,5☆
Arcanine (Kantonian),Shield,Crown Tundra,Den 161
Arcanine (Kantonian),Shield,Galar,Den 18
Arcanine (Kantonian),Shield,Galar,Den 19
Arcanine (Kantonian),Shield,Galar,Den 20
Arcanine (Kantonian),Shield,Galar,Den 53
Arcanine (Kantonian),Shield,Galar,Den 54
Arcanine (Kantonian),Shield,Galar,Den 71
Arcanine (Kantonian),Shield,Galar,Den 77
Arcanine (Kantonian),Shield,Galar,Den 80
Arcanine (Kantonian),Shield,Isle of Armor,Den 114
Arcanine (Kantonian),Sword,Galar,Den 71
Arcanine (Kantonian),Violet,Paldea,5☆
Arctovish,Shield,Crown Tundra,Den 197
Arctovish,Sword,Crown Tundra,Den 197
Arctozolt,Shield,Crown Tundra,Den 197
Arctozolt,Sword,Crown Tundra,Den 197
Ariados,Scarlet,Kitakami,3☆
Ariados,Scarlet,Kitakami,4☆
Ariados,Violet,Kitakami,3☆
Ariados,Violet,Kitakami,4☆
Armaldo,Shield,Crown Tundra,Den 166
Armaldo,Shield,Crown Tundra,Den 167
Armaldo,Shield,Crown Tundra,Den 196
Armaldo,Shield,Crown Tundra,Dynamax Adventure
Armaldo,Sword,Crown Tundra,Den 166
Armaldo,Sword,Crown Tundra,Den 167
Armaldo,Sword,Crown Tundra,Den 196
Armaldo,Sword,Crown Tundra,Dynamax Adventure
Armarouge,Scarlet,Paldea,5☆
Armarouge,Scarlet,Paldea,6☆
Aromatisse,Shield,Galar,Den 33
Aromatisse,Shield,Galar,Den 74
Aromatisse,Shield,Galar,Den 87
Aron,Shield,Crown Tundra,Den 180
Aron,Shield,Crown Tundra,Den 181
Aron,Shield,Crown Tundra,Den 188
Aron,Shield,Crown Tundra,Den 189
Aron,Sword,Crown Tundra,Den 180
Aron,Sword,Crown Tundra,Den 181
Aron,Sword,Crown Tundra,Den 188
Aron,Sword,Crown Tundra,Den 189
Arrokuda,Scarlet,Paldea,2☆
Arrokuda,Shield,Galar,Den 41
Arrokuda,Shield,Galar,Den 44
Arrokuda,Shield,Galar,Den 67
Arrokuda,Shield,Galar,Den 78
Arrokuda,Shield,Galar,Den 8
Arrokuda,Shield,Galar,Den 91
Arrokuda,Shield,Isle of Armor,Den 135
Arrokuda,Shield,Isle of Armor,Den 136
Arrokuda,Sword,Galar,Den 41
Arrokuda,Sword,Galar,Den 44
Arrokuda,Sword,Galar,Den 67
Arrokuda,Sword,Galar,Den 78
Arrokuda,Sword,Galar,Den 8
Arrokuda,Sword,Galar,Den 91
Arrokuda,Sword,Isle of Armor,Den 135
Arrokuda,Sword,Isle of Armor,Den 136
Arrokuda,Violet,Paldea,2☆
Articuno,Shield,Crown Tundra,Dynamax Adventure
Articuno,Sword,Crown Tundra,Dynamax Adventure
Audino,Shield,Crown Tundra,Den 160
Audino,Shield,Crown Tundra,Den 162
Audino,Shield,Crown Tundra,Den 164
Audino,Shield,Crown Tundra,Den 166
Audino,Shield,Crown Tundra,Den 168
Audino,Shield,Crown Tundra,Den 170
Audino,Shield,Crown Tundra,Den 172
Audino,Shield,Crown Tundra,Den 174
Audino,Shield,Crown Tundra,Den 176
Audino,Shield,Crown Tundra,Den 178
Audino,Shield,Crown Tundra,Den 180
Audino,Shield,Crown Tundra,Den 182
Audino,Shield,Crown Tundra,Den 184
Audino,Shield,Crown Tundra,Den 186
Audino,Shield,Crown Tundra,Den 188
Audino,Shield,Crown Tundra,Den 190
Audino,Shield,Crown Tundra,Den 192
Audino,Shield,Crown Tundra,Den 194
Audino,Shield,Crown Tundra,Den 196
Audino,Shield,Crown Tundra,Dynamax Adventure
Audino,Shield,Isle of Armor,Den 158
Audino,Sword,Crown Tundra,Den 160
Audino,Sword,Crown Tundra,Den 162
Audino,Sword,Crown Tundra,Den 164
Audino,Sword,Crown Tundra,Den 166
Audino,Sword,Crown Tundra,Den 168
Audino,Sword,Crown Tundra,Den 170
Audino,Sword,Crown Tundra,Den 172
Audino,Sword,Crown Tundra,Den 174
Audino,Sword,Crown Tundra,Den 176
Audino,Sword,Crown Tundra,Den 178
Audino,Sword,Crown Tundra,Den 180
Audino,Sword,Crown Tundra,Den 182
Audino,Sword,Crown Tundra,Den 184
Audino,Sword,Crown Tundra,Den 186
Audino,Sword,Crown Tundra,Den 188
Audino,Sword,Crown Tundra,Den 190
Audino,Sword,Crown Tundra,Den 192
Audino,Sword,Crown Tundra,Den 194
Audino,Sword,Crown Tundra,Den 196
Audino,Sword,Crown Tundra,Dynamax Adventure
Audino,Sword,Isle of Armor,Den 158
Aurorus,Shield,Crown Tundra,Den 168
Aurorus,Shield,Crown Tundra,Den 169
Aurorus,Shield,Crown Tundra,Den 196
Aurorus,Shield,Crown Tundra,Dynamax Adventure
Aurorus,Sword,Crown Tundra,Den 168
Aurorus,Sword,Crown Tundra,Den 169
Aurorus,Sword,Crown Tundra,Den 196
Aurorus,Sword,Crown Tundra,Dynamax Adventure
Avalugg,Scarlet,Paldea,5☆
Avalugg,Scarlet,Paldea,6☆
Avalugg,Shield,Crown Tundra,Den 170
Avalugg,Shield,Crown Tundra,Den 171
Avalugg,Shield,Galar,Den 21
Avalugg,Shield,Galar,Den 55
Avalugg,Shield,Galar,Den 73
Avalugg,Shield,Galar,Den 83
Avalugg,Shield,Isle of Armor,Den 147
Avalugg,Sword,Crown Tundra,Den 170
Avalugg,Sword,Crown Tundra,Den 171
Avalugg,Sword,Galar,Den 21
Avalugg,Sword,Galar,Den 55
Avalugg,Sword,Galar,Den 73
Avalugg,Sword,Isle of Armor,Den 147
Avalugg,Violet,Paldea,5☆
Avalugg,Violet,Paldea,6☆
Axew,Scarlet,Paldea,3☆
Axew,Shield,Galar,Den 37
Axew,Shield,Galar,Den 64
Axew,Sword,Galar,Den 37
Axew,Sword,Galar,Den 64
Axew,Violet,Paldea,3☆
Azelf,Shield,Crown Tundra,Dynamax Adventure
Azelf,Sword,Crown Tundra,Dynamax Adventure
Azumarill,Scarlet,Paldea,4☆
Azumarill,Shield,Isle of Armor,Den 125
Azumarill,Shield,Isle of Armor,Den 126
Azumarill,Sword,Isle of Armor,Den 125
Azumarill,Sword,Isle of Armor,Den 126
Azumarill,Violet,Paldea,4☆
Azurill,Scarlet,Paldea,1☆
Azurill,Shield,Isle of Armor,Den 125
Azurill,Sword,Isle of Armor,Den 125
Azurill,Violet,Paldea,1☆
Bagon,Sword,Crown Tundra,Den 184
Bagon,Sword,Crown Tundra,Den 185
Bagon,Violet,Paldea,3☆
Baltoy,Shield,Galar,Den 14
Baltoy,Sword,Crown Tundra,Den 178
Baltoy,Sword,Galar,Den 14
Banette,Scarlet,Paldea,4☆
Banette,Violet,Paldea,4☆
Barbaracle,Shield,Crown Tundra,Dynamax Adventure
Barbaracle,Shield,Galar,Den 15
Barbaracle,Shield,Galar,Den 3
Barbaracle,Shield,Galar,Den 42
Barbaracle,Shield,Isle of Armor,Den 138
Barbaracle,Shield,Isle of Armor,Den 146
Barbaracle,Sword,Crown Tundra,Dynamax Adventure
Barbaracle,Sword,Galar,Den 15
Barbaracle,Sword,Galar,Den 3
Barbaracle,Sword,Galar,Den 42
Barbaracle,Sword,Galar,Den 51
Barbaracle,Sword,Galar,Den 83
Barbaracle,Sword,Isle of Armor,Den 138
Barbaracle,Sword,Isle of Armor,Den 146
Barboach,Scarlet,Paldea,1☆
Barboach,Shield,Galar,Den 16
Barboach,Shield,Galar,Den 52
Barboach,Shield,Galar,Den 75
Barboach,Shield,Galar,Den 93
Barboach,Shield,Isle of Armor,Den 135
Barboach,Shield,Isle of Armor,Den 148
Barboach,Sword,Galar,Den 16
Barboach,Sword,Galar,Den 52
Barboach,Sword,Galar,Den 75
Barboach,Sword,Galar,Den 93
Barboach,Sword,Isle of Armor,Den 135
Barboach,Sword,Isle of Armor,Den 148
Barboach,Violet,Paldea,1☆
Barraskewda,Scarlet,Paldea,4☆
Barraskewda,Shield,Crown Tundra,Dynamax Adventure
Barraskewda,Shield,Galar,Den 41
Barraskewda,Shield,Galar,Den 8
Barraskewda,Shield,Isle of Armor,Den 135
Barraskewda,Shield,Isle of Armor,Den 136
Barraskewda,Shield,Isle of Armor,Den 148
Barraskewda,Sword,Crown Tundra,Dynamax Adventure
Barraskewda,Sword,Galar,Den 41
Barraskewda,Sword,Galar,Den 8
Barraskewda,Sword,Isle of Armor,Den 135
Barraskewda,Sword,Isle of Armor,Den 136
Barraskewda,Sword,Isle of Armor,Den 148
Barraskewda,Violet,Paldea,4☆
Basculegion,Scarlet,Kitakami,5☆
Basculegion,Scarlet,Kitakami,6☆
Basculegion,Violet,Kitakami,5☆
Basculegion,Violet,Kitakami,6☆
Basculin (Blue-striped),Shield,Crown Tundra,Den 162
Basculin (Blue-striped),Shield,Crown Tundra,Den 163
Basculin (Blue-striped),Shield,Crown Tundra,Dynamax Adventure
Basculin (Blue-striped),Shield,Galar,Den 44
Basculin (Blue-striped),Shield,Galar,Den 67
Basculin (Blue-striped),Shield,Galar,Den 7
Basculin (Blue-striped),Shield,Galar,Den 76
Basculin (Blue-striped),Shield,Galar,Den 78
Basculin (Blue-striped),Shield,Galar,Den 8
Basculin (Blue-striped),Shield,Galar,Den 91
Basculin (Blue-striped),Shield,Isle of Armor,Den 136
Basculin (Blue-striped),Shield,Isle of Armor,Den 148
